pdb,plddt
A0A140D2T1_ZIKV_Sourisseau_2019.pdb,65.00487161171473
A0A192B1T2_9HIV1_Haddox_2018.pdb,74.75617399023524
A0A1I9GEU1_NEIME_Kennouche_2019.pdb,93.38067669172932
A0A247D711_LISMN_Stadelmann_2021.pdb,91.59233893557425
A0A2Z5U3Z0_9INFA_Doud_2016.pdb,86.67465227272727
A0A2Z5U3Z0_9INFA_Wu_2014.pdb,86.90170890334154
A4D664_9INFA_Soh_2019.pdb,91.39040341796074
A4GRB6_PSEAI_Chen_2020.pdb,90.74477112676055
A4_HUMAN_Seuma_2022.pdb,67.49939080459771
AACC1_PSEAI_Dandage_2018.pdb,89.75672035139092
ACE2_HUMAN_Chan_2020.pdb,90.3445121202823
ADRB2_HUMAN_Jones_2020.pdb,77.4885006119951
AICDA_HUMAN_Gajula_2014_3cycles.pdb,89.19467179183916
AMFR_HUMAN_Tsuboyama_2023_4G3O.pdb,97.15911917098445
AMIE_PSEAE_Wrenbeck_2017.pdb,97.91922848664689
ANCSZ_Hobbs_2022.pdb,82.40625474146536
ARGR_ECOLI_Tsuboyama_2023_1AOY.pdb,92.87123411978222
B2L11_HUMAN_Dutta_2010_binding-Mcl-1.pdb,60.2062958199357
BBC1_YEAST_Tsuboyama_2023_1TG0.pdb,97.50011472275335
BCHB_CHLTE_Tsuboyama_2023_2KRU.pdb,92.13533175355451
BLAT_ECOLX_Deng_2012.pdb,94.17457259158752
BLAT_ECOLX_Firnberg_2014.pdb,94.11493579635054
BLAT_ECOLX_Jacquier_2013.pdb,94.17457259158752
BLAT_ECOLX_Stiffler_2015.pdb,94.17457259158752
BRCA1_HUMAN_Findlay_2018.pdb,39.569514055948865
BRCA2_HUMAN_Erwood_2022_HEK293T.pdb,39.212485264133456
C6KNH7_9INFA_Lee_2018.pdb,85.76086461126006
CALM1_HUMAN_Weile_2017.pdb,83.281031543052
CAPSD_AAV2S_Sinai_2021.pdb,86.09286651700916
CAR11_HUMAN_Meitlis_2020_gof.pdb,71.5477626918536
CAR11_HUMAN_Meitlis_2020_lof.pdb,71.50684823441021
CAS9_STRP1_Spencer_2017_positive.pdb,88.16606204509142
CASP3_HUMAN_Roychowdhury_2020.pdb,89.39727250608273
CASP7_HUMAN_Roychowdhury_2020.pdb,83.4006868867083
CATR_CHLRE_Tsuboyama_2023_2AMI.pdb,94.44200000000001
CBPA2_HUMAN_Tsuboyama_2023_1O6X.pdb,93.4551923076923
CBS_HUMAN_Sun_2020.pdb,91.54251705481063
CBX4_HUMAN_Tsuboyama_2023_2K28.pdb,94.9255403868032
CCDB_ECOLI_Adkar_2012.pdb,96.0005243902439
CCDB_ECOLI_Tripathi_2016.pdb,96.0005243902439
CCR5_HUMAN_Gill_2023.pdb,82.57739069604757
CD19_HUMAN_Klesmith_2019_FMC_singles.pdb,62.21854520102255
CP2C9_HUMAN_Amorosi_2021_abundance.pdb,93.49291378869276
CP2C9_HUMAN_Amorosi_2021_activity.pdb,93.49291378869276
CSN4_MOUSE_Tsuboyama_2023_1UFM.pdb,93.99976320582878
CUE1_YEAST_Tsuboyama_2023_2MYX.pdb,97.40344527363183
D7PM05_CLYGR_Somermeyer_2022.pdb,97.21899462365592
DLG4_HUMAN_Faure_2021.pdb,77.54855984487925
DLG4_RAT_McLaughlin_2012.pdb,78.18001691143748
DN7A_SACS2_Tsuboyama_2023_1JIC.pdb,89.98379310344826
DNJA1_HUMAN_Tsuboyama_2023_2LO1.pdb,90.28206766917293
DOCK1_MOUSE_Tsuboyama_2023_2M0Y.pdb,92.28783044667274
DYR_ECOLI_Nguyen_2023.pdb,96.42821625887925
DYR_ECOLI_Thompson_2019.pdb,96.42821625887925
ENVZ_ECOLI_Ghose_2023.pdb,92.26151199165798
ENV_HV1B9_DuenasDecamp_2016.pdb,74.14425051184557
ENV_HV1BR_Haddox_2016.pdb,74.2433854242734
EPHB2_HUMAN_Tsuboyama_2023_1F0M.pdb,97.29656429942418
ERBB2_HUMAN_Elazar_2016.pdb,73.91050621118012
ESTA_BACSU_Nutschel_2020.pdb,91.21964208577599
F7YBW7_MESOW_Ding_2023.pdb,93.71077852348994
F7YBW8_MESOW_Aakre_2015.pdb,93.71077852348994
FECA_ECOLI_Tsuboyama_2023_2D1U.pdb,93.5969850187266
FKBP3_HUMAN_Tsuboyama_2023_2KFV.pdb,91.18934199134199
GAL4_YEAST_Kitzman_2015.pdb,67.3089248389406
GCN4_YEAST_Staller_2018.pdb,63.29288050885961
GDIA_HUMAN_Silverstein_2021.pdb,94.42534667418263
GFP_AEQVI_Sarkisyan_2016.pdb,96.8525951374207
GLPA_HUMAN_Elazar_2016.pdb,58.234350479511775
GRB2_HUMAN_Faure_2021.pdb,88.54060258249642
HCP_LAMBD_Tsuboyama_2023_2L6Q.pdb,86.24715294117647
HECD1_HUMAN_Tsuboyama_2023_3DKM.pdb,93.70814159292036
HEM3_HUMAN_Loggerenberg_2023.pdb,92.07548959827832
HIS7_YEAST_Pokusaeva_2019.pdb,95.33249328157659
HMDH_HUMAN_Jiang_2019.pdb,76.24634517397001
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2.pdb,85.21221563154222
HSP82_YEAST_Flynn_2019.pdb,85.21221563154222
HSP82_YEAST_Mishra_2016.pdb,85.45571391281649
HXK4_HUMAN_Gersing_2022_activity.pdb,94.37232226832641
HXK4_HUMAN_Gersing_2023_abundance.pdb,94.37232226832641
I6TAH8_I68A0_Doud_2015.pdb,87.60024327784892
IF1_ECOLI_Kelsic_2016.pdb,85.26664930555556
ILF3_HUMAN_Tsuboyama_2023_2L33.pdb,94.58694394213381
ISDH_STAAW_Tsuboyama_2023_2LHR.pdb,91.21082978723403
KCNE1_HUMAN_Muhammad_2023_expression.pdb,68.72320077594568
KCNE1_HUMAN_Muhammad_2023_function.pdb,68.85107976653697
KCNH2_HUMAN_Kozek_2020.pdb,62.768290161263145
KCNJ2_MOUSE_Coyote-Maestas_2022_function.pdb,81.10474536355606
KCNJ2_MOUSE_Coyote-Maestas_2022_surface.pdb,81.01378569325874
KKA2_KLEPN_Melnikov_2014.pdb,94.67362389813908
LGK_LIPST_Klesmith_2015.pdb,97.48916077738517
LYAM1_HUMAN_Elazar_2016.pdb,84.81097899728998
MAFG_MOUSE_Tsuboyama_2023_1K1V.pdb,94.04098265895954
MBD11_ARATH_Tsuboyama_2023_6ACV.pdb,84.1870077220077
MET_HUMAN_Estevam_2023.pdb,90.22084679179397
MK01_HUMAN_Brenan_2016.pdb,91.40320178448867
MLAC_ECOLI_MacRae_2023.pdb,91.75203319502076
MSH2_HUMAN_Jia_2020.pdb,88.13460503059143
MTH3_HAEAE_RockahShmuel_2015.pdb,93.84050131430718
MTHR_HUMAN_Weile_2021.pdb,88.42661281125262
MYO3_YEAST_Tsuboyama_2023_2BTT.pdb,96.40253699788583
NCAP_I34A1_Doud_2015.pdb,86.77772946859902
NKX31_HUMAN_Tsuboyama_2023_2L9R.pdb,92.23558270676692
NPC1_HUMAN_Erwood_2022_HEK293T.pdb,86.5064302672122
NPC1_HUMAN_Erwood_2022_RPE1.pdb,86.5064302672122
NRAM_I33A0_Jiang_2016.pdb,92.56010102489019
NUD15_HUMAN_Suiter_2020.pdb,95.73851319875777
NUSA_ECOLI_Tsuboyama_2023_1WCL.pdb,95.84874306839187
